age,tenure_months,monthly_charges,contract_type_month-to-month,contract_type_one year,contract_type_two year,payment_method_bank transfer,payment_method_credit card,payment_method_electronic check,internet_service_dsl,internet_service_fiber optic,churn
-0.44607171389549,-0.5016937010523055,0.22729364423150666,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
-0.8565671561306037,-0.8185528806642879,-0.709183192717001,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
-1.0207653330246493,-0.9769824704702792,-1.1180182297430288,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
0.29282008212771476,-0.0792147949029956,0.5173219183610822,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0
-1.431260775259763,-1.0826021970076067,-1.4856203314108758,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
1.2780091434919878,0.8713627439329517,1.2126909129609063,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0
0.0465228167866465,-0.3432641112463143,-0.06972326300962452,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
-0.15872490433091038,-0.18483452144032309,0.08053234888883049,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
-0.2818735370014445,-0.2640493163433187,-0.12912664445785035,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
0.45701825902176024,0.13202465817165934,-0.436626501366316,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
-0.5281708023425128,-0.6601232908582967,-0.44361513447787165,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
2.263198204856261,2.666898095067519,2.3728040094792076,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0
-0.03557627166037625,0.7657430173956242,-0.09942495373373744,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0
-1.102864421471672,-0.9241726072016154,-1.222847726416369,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
1.524306408833056,1.3994613766195891,1.3035431434111353,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0
